customer_id,tenure_months,plan_type,acquisition_channel,weekly_deliveries_last_8w,skipped_weeks_last_8w,avg_box_price,discount_pct_last_order,support_tickets_last_90d,avg_ticket_resolution_hrs,late_deliveries_last_90d,app_sessions_last_30d,recipe_swaps_last_30d,days_since_last_login,referred_friends_total,loyalty_tier,churned
1,8,4-person-2meal,paid_social,5,1,12.21,7.3,0,11.9,0,9,1,0,0,silver,0
2,3,4-person-2meal,affiliate,8,0,10.92,0,2,34.8,0,7,3,14,0,silver,0
3,16,4-person-2meal,affiliate,5,0,8.8,0,0,20.9,0,5,1,6,0,none,0
4,4,2-person-4meal,organic_search,4,0,14.06,14.2,0,12.4,0,6,3,0,0,silver,1
5,15,4-person-4meal,paid_social,1,2,16.14,14.2,0,8.4,0,10,0,5,0,none,0
6,19,4-person-4meal,referral,6,1,8.14,8.7,1,9.6,1,12,0,1,0,none,0
7,19,2-person-3meal,organic_search,4,0,11.14,4.9,0,3.9,1,15,0,5,1,none,1
8,2,2-person-4meal,paid_social,5,0,11.94,0,1,14.0,2,7,3,0,0,silver,0
9,16,2-person-3meal,email,6,0,11.29,0,0,20.2,1,0,0,18,0,silver,0
10,3,4-person-2meal,referral,4,1,11.79,17.0,0,10.2,0,7,0,1,1,none,0
11,7,2-person-4meal,organic_search,4,2,9.73,8.5,2,10.3,0,3,0,0,1,none,1
12,1,4-person-2meal,affiliate,6,2,10.43,6.8,1,24.2,0,4,2,0,1,none,1
13,19,2-person-4meal,paid_social,7,0,11.62,5.2,1,0.5,2,5,3,0,0,gold,0
14,9,2-person-4meal,paid_social,5,2,11.44,4.5,0,17.0,0,7,0,5,0,none,1
15,14,2-person-4meal,organic_search,3,2,11.7,0.9,0,10.9,1,3,0,5,0,silver,0
16,14,2-person-3meal,referral,8,0,12.74,11.1,0,37.2,2,0,0,9,0,silver,0
17,9,4-person-2meal,email,5,3,13.99,6.1,3,13.7,0,5,2,0,1,silver,0
18,9,2-person-3meal,paid_social,3,2,14.93,8.4,0,8.1,0,0,1,6,1,gold,1
19,14,2-person-4meal,referral,2,2,11.99,32.4,0,23.1,0,2,0,0,1,silver,0
20,8,2-person-4meal,affiliate,8,0,11.83,6.5,0,5.0,2,2,2,0,0,none,0
21,13,4-person-4meal,paid_social,4,2,7.84,10.5,2,7.5,1,13,2,0,1,silver,1
22,4,4-person-2meal,paid_social,7,1,13.16,14.7,0,5.4,0,2,0,12,0,none,0
23,1,2-person-4meal,referral,4,3,12.76,3.8,1,23.2,0,4,2,0,0,none,0
24,15,2-person-4meal,organic_search,4,3,13.14,8.0,0,19.6,0,1,0,7,0,silver,1
25,17,4-person-2meal,paid_social,6,2,11.07,1.3,2,15.8,0,12,0,7,0,silver,0
26,4,4-person-4meal,paid_social,5,1,11.52,0,1,20.5,1,17,0,5,0,none,0
27,1,4-person-2meal,email,0,3,9.76,5.7,0,20.1,0,12,0,0,0,none,0
28,1,2-person-4meal,paid_social,7,1,11.26,16.7,0,12.6,0,13,1,3,0,none,0
29,1,2-person-3meal,affiliate,7,1,9.55,17.3,0,14.4,0,10,0,5,0,silver,0
30,14,2-person-3meal,referral,3,0,10.88,0,3,0.5,0,3,0,0,1,silver,1
31,9,4-person-4meal,paid_social,7,1,9.55,8.2,0,13.9,1,12,1,13,0,silver,0
32,1,2-person-4meal,paid_social,6,1,13.59,18.6,0,11.3,0,0,2,15,0,silver,0
33,11,4-person-2meal,organic_search,5,2,10.44,14.2,0,0.5,0,6,3,2,1,silver,1
34,1,4-person-4meal,organic_search,8,0,13.58,8.8,0,14.7,0,14,0,7,0,silver,0
35,20,4-person-4meal,referral,3,1,9.93,19.2,0,31.7,1,6,2,0,0,none,1
36,6,4-person-2meal,paid_social,7,0,11.45,9.4,1,12.6,0,0,1,0,0,silver,0
37,11,4-person-2meal,organic_search,8,0,13.36,0,4,5.2,0,1,1,7,1,none,0
38,1,2-person-4meal,paid_social,1,1,13.91,6.2,0,18.5,0,9,1,7,0,gold,0
39,8,4-person-4meal,paid_social,4,2,11.63,0,0,21.5,0,7,0,14,0,none,0
40,6,4-person-2meal,paid_social,5,3,9.17,14.8,0,2.3,0,13,0,16,0,none,0
41,19,2-person-4meal,paid_social,7,1,12.22,2.5,0,1.2,1,4,1,4,0,silver,0
42,12,2-person-4meal,referral,2,0,14.64,0,1,16.6,0,13,0,3,1,silver,0
43,1,2-person-3meal,organic_search,5,3,9.41,6.2,0,16.0,2,10,0,19,0,silver,0
44,4,4-person-4meal,email,6,2,9.96,0,1,19.0,0,12,2,0,0,gold,0
45,2,4-person-2meal,paid_social,4,3,13.79,20.3,0,34.2,0,4,1,0,0,none,1
46,10,2-person-4meal,email,2,2,15.39,26.6,0,9.3,1,11,0,4,2,none,0
47,14,4-person-2meal,organic_search,3,1,15.25,15.4,0,4.7,0,11,0,17,0,none,0
48,2,4-person-2meal,affiliate,5,2,5.19,0,0,14.4,0,4,0,2,0,none,0
49,5,4-person-4meal,paid_social,4,1,8.38,11.7,0,4.4,0,11,0,15,0,none,1
50,1,4-person-4meal,paid_social,8,0,12.27,7.3,1,6.3,0,2,2,9,0,gold,0
51,16,2-person-3meal,organic_search,3,1,14.52,6.3,1,37.3,2,6,0,9,0,none,1
52,11,4-person-2meal,referral,7,1,8.25,0.9,1,17.6,1,0,1,23,0,none,1
53,22,4-person-2meal,organic_search,5,2,13.31,0.5,2,7.2,0,5,4,8,1,none,0
54,19,4-person-2meal,paid_social,6,0,15.5,9.0,1,0.5,1,1,2,0,0,silver,0
55,11,2-person-4meal,organic_search,7,1,9.86,4.1,2,0.5,0,9,1,5,0,none,0
56,5,4-person-2meal,affiliate,5,3,7.9,10.1,0,4.9,2,14,3,22,1,gold,0
57,12,4-person-4meal,paid_social,3,0,11.0,1.0,0,0.5,0,8,0,6,0,silver,0
58,4,2-person-3meal,organic_search,2,2,10.91,4.0,1,14.8,1,5,1,15,0,gold,1
59,1,2-person-4meal,affiliate,4,0,8.37,0,0,11.2,2,7,2,6,1,gold,0
60,21,2-person-3meal,referral,5,2,12.77,0,0,1.8,0,5,1,0,1,none,0
61,11,2-person-4meal,paid_social,6,2,14.94,27.8,0,17.2,1,5,2,5,0,none,0
62,5,2-person-4meal,paid_social,7,1,12.05,10.4,0,17.0,0,2,1,16,0,silver,0
63,8,4-person-4meal,affiliate,5,0,11.93,5.5,0,21.1,0,7,1,0,0,silver,0
64,16,4-person-4meal,paid_social,4,0,9.5,0,0,7.2,0,7,0,13,0,none,0
65,7,4-person-4meal,paid_social,6,1,10.73,21.5,2,18.8,0,0,0,4,0,none,0
66,1,2-person-3meal,email,3,0,10.28,4.7,0,8.1,2,12,0,16,0,silver,0
67,14,2-person-3meal,organic_search,2,0,8.93,15.9,0,15.8,0,4,1,13,1,none,1
68,1,2-person-4meal,referral,4,1,10.83,16.2,2,9.2,1,4,1,3,1,none,0
69,5,2-person-3meal,paid_social,6,2,13.43,0,0,11.5,1,7,1,11,2,silver,1
70,4,4-person-4meal,organic_search,6,2,10.82,0,1,0.5,2,10,1,6,1,none,0
71,8,2-person-3meal,referral,3,2,11.24,18.5,0,10.5,0,3,1,0,0,none,1
72,1,2-person-4meal,paid_social,3,0,12.69,24.2,0,34.3,0,3,2,9,0,silver,1
73,19,4-person-4meal,affiliate,4,1,9.32,19.5,0,4.8,0,10,0,7,0,none,0
74,15,2-person-3meal,paid_social,4,1,11.89,4.5,2,0.5,0,2,0,8,0,none,0
75,6,4-person-4meal,organic_search,3,3,10.93,15.1,0,18.2,0,5,0,0,0,none,0
76,5,4-person-4meal,referral,3,3,12.2,0,1,15.8,0,2,0,0,1,none,0
77,14,4-person-4meal,paid_social,7,1,10.69,0,0,11.5,1,2,0,23,0,none,1
78,2,4-person-2meal,paid_social,6,2,10.07,8.6,1,17.0,0,4,1,0,0,none,0
79,14,2-person-4meal,paid_social,7,0,8.88,21.1,0,23.2,0,3,0,0,0,silver,0
80,15,4-person-4meal,email,6,2,9.55,3.4,1,0.5,0,5,1,10,0,none,0
81,1,2-person-3meal,paid_social,8,0,9.91,12.7,0,0.5,1,6,2,4,0,none,0
82,9,4-person-2meal,paid_social,5,2,11.1,0,1,16.2,1,3,2,0,0,gold,1
83,10,4-person-4meal,paid_social,6,1,13.14,18.0,1,17.0,0,14,3,4,0,none,0
84,13,4-person-2meal,paid_social,2,2,16.16,21.9,2,19.0,0,5,0,3,0,gold,1
85,22,4-person-2meal,paid_social,5,1,10.72,0,0,20.2,1,2,3,11,0,gold,0
86,10,4-person-4meal,paid_social,6,2,12.81,2.3,0,23.4,1,0,3,8,0,none,1
87,8,4-person-4meal,affiliate,8,0,7.26,0,3,2.3,0,11,0,10,0,none,0
88,2,4-person-2meal,paid_social,4,2,8.5,13.3,1,23.4,0,8,2,0,0,silver,1
89,6,2-person-4meal,email,3,2,13.64,8.5,0,29.8,1,2,2,0,0,silver,1
90,7,2-person-4meal,organic_search,2,2,11.5,12.9,0,2.3,0,10,1,12,0,none,0
91,6,2-person-3meal,referral,5,2,10.21,20.9,1,19.0,0,4,1,0,0,silver,0
92,1,4-person-2meal,organic_search,6,2,13.77,21.5,2,16.1,0,12,0,2,0,gold,0
93,1,2-person-3meal,paid_social,4,1,12.22,0,1,27.0,1,0,0,6,0,none,1
94,1,4-person-2meal,paid_social,3,3,8.8,27.6,2,2.1,0,13,0,4,0,none,1
95,13,4-person-2meal,affiliate,5,0,10.05,11.0,0,5.7,0,1,0,0,0,none,0
96,5,4-person-4meal,paid_social,6,0,8.57,12.4,1,22.7,0,7,3,18,0,none,1
97,10,2-person-3meal,paid_social,2,0,11.83,8.1,1,11.5,1,3,0,9,0,none,0
98,7,4-person-4meal,email,1,2,10.63,8.1,0,20.9,0,12,2,7,0,silver,0
99,13,2-person-4meal,affiliate,5,1,8.14,1.3,1,8.1,0,4,1,0,0,none,1
100,9,2-person-3meal,referral,6,0,14.61,1.7,1,25.3,0,5,2,11,0,silver,0
101,5,2-person-4meal,referral,8,0,8.93,0,0,2.4,0,0,0,13,0,none,0
102,13,2-person-3meal,organic_search,5,3,14.09,5.7,0,17.2,0,6,0,0,0,none,1
103,8,4-person-4meal,paid_social,4,2,13.99,0,1,31.8,0,5,0,9,0,none,1
104,2,2-person-4meal,referral,2,1,9.69,0,0,0.5,0,11,2,4,0,gold,1
105,7,4-person-4meal,paid_social,2,0,15.29,10.2,0,24.8,1,0,4,14,0,silver,0
106,15,4-person-2meal,email,3,0,12.34,26.3,0,26.7,0,8,1,0,1,none,0
107,15,4-person-4meal,paid_social,6,1,11.3,0,0,0.5,1,10,0,12,2,none,0
108,1,2-person-4meal,organic_search,4,0,12.56,4.8,1,9.8,3,0,0,11,2,gold,0
109,19,2-person-3meal,email,5,0,13.39,0.3,0,18.1,0,2,1,8,0,silver,1
